File,Best_Alpha,Lasso_RMSE,FullModel_RMSE,Lasso_r,Lasso_p,FullModel_r,FullModel_p,Lasso_Features_N,Lasso_Coefficients,Lasso_FDR_q,Lasso_Significant,FullModel_FDR_q,FullModel_Significant
CT_attention_A_r-0.02,0.21703753220574598,1.2648775115957356,1.468783192483594,0.0,1.0,-0.29211822660098513,0.12412952629052428,0,{},1.0,False,0.24825905258104855,False
maxDTIV_attention_A_r-0.02,0.20418389139180806,1.2648775115957356,1.2346688952419795,0.0,1.0,0.3147783251231526,0.09628154802949013,0,{},1.0,False,0.24825905258104855,False
meanDTIV_attention_A_r-0.02,0.20071604921895206,1.2648775115957356,1.4801109931433978,0.0,1.0,-0.3497536945812807,0.06290474445057329,0,{},1.0,False,0.24825905258104855,False
SATIV_attention_A_r-0.02,0.1605809888493469,1.2690792602049432,1.2725747242635903,0.0083743842364532,0.965610361799865,0.022167487684729058,0.909128127792977,3,"{'SA_TIV_adjusted_F_Coll__right_merged_with_TIV': -0.013366184788732909, 'SA_TIV_adjusted_F_I_P__right_merged_with_TIV': -0.15202880591251755, 'SA_TIV_adjusted_S_F_inf__right_merged_with_TIV': -0.10474976139992265}",1.0,False,0.909128127792977,False
SLTIV_attention_A_r-0.02,0.19009147964527148,1.2569378729314729,1.242234792848208,0.026108374384236445,0.893057799729345,0.16699507389162557,0.38657700067785605,2,"{'SL_TIV_adjusted_F_I_P__right_merged_with_TIV': -0.20694567376783365, 'SL_TIV_adjusted_S_F_inf__right_merged_with_TIV': -0.03573632447215556}",1.0,False,0.46389240081342725,False
SW_attention_A_r-0.02,0.1840928631375034,1.2648775115957356,1.3520076064900823,0.0,1.0,-0.25418719211822655,0.1833185770795975,0,{},1.0,False,0.2749778656193963,False
