File,Best_Alpha,Lasso_RMSE,FullModel_RMSE,Lasso_r,Lasso_p,FullModel_r,FullModel_p,Lasso_Features_N,Lasso_Coefficients,Lasso_FDR_q,Lasso_Significant,FullModel_FDR_q,FullModel_Significant
CT_attention_O_r-0.06,0.2873854095123234,1.1725217277796116,1.356404608833379,0.0,1.0,0.012807881773399012,0.9474246528208812,0,{},1.0,False,0.9474246528208812,False
maxDTIV_attention_O_r-0.06,0.19287947058609653,1.1725217277796116,1.1518701087933758,0.0,1.0,0.18226600985221672,0.3439869443590987,0,{},1.0,False,0.695960389069284,False
meanDTIV_attention_O_r-0.06,0.29199303932823106,1.1765384814229831,1.1605907774763302,-0.23353901847372002,0.22274060981713142,0.09999999999999998,0.6057667970556471,1,{'meanD_TIV_adjusted_S_Li_post__left_merged_with_TIV': -0.028468960867067777},1.0,False,0.7790606365687777,False
SATIV_attention_O_r-0.06,0.2556359963573453,1.1725217277796116,1.1856087061596945,0.0,1.0,0.18078817733990143,0.347980194534642,0,{},1.0,False,0.695960389069284,False
SLTIV_attention_O_r-0.06,0.28707182609108317,1.1725217277796116,1.239702554933077,0.0,1.0,0.0881773399014778,0.6492171971406481,0,{},1.0,False,0.7790606365687777,False
SW_attention_O_r-0.06,0.18350620013175611,1.1748508116023588,1.1891015310177082,0.09655172413793102,0.6183130367657459,-0.2788177339901477,0.14301365525842863,5,"{'SW_F_P_O__left_merged_with_TIV': -0.0904628920693785, 'SW_S_F_orbitaire__left_merged_with_TIV': 0.05248742242734111, 'SW_S_Li_post__left_merged_with_TIV': -0.02040497204863403, 'SW_S_T_i__left_merged_with_TIV': -0.05856695287517216, 'SW_S_T_s__left_merged_with_TIV': -0.026045997991288063}",1.0,False,0.695960389069284,False
