File,Best_Alpha,Lasso_RMSE,FullModel_RMSE,Lasso_r,Lasso_p,FullModel_r,FullModel_p,Lasso_Features_N,Lasso_Coefficients,Lasso_FDR_q,Lasso_Significant,FullModel_FDR_q,FullModel_Significant
CT_zscore_rx2_back_r-0.05,0.15102314230193087,1.2018757889511096,1.1874392706018881,0.0,1.0,0.18171866447728516,0.35472535941619376,0,{},1.0,False,0.6079971427044334,False
maxDTIV_zscore_rx2_back_r-0.05,0.18108853572084782,1.2018757889511096,1.2178173123453613,0.0,1.0,0.06349206349206349,0.7482294019132718,0,{},1.0,False,0.7482294019132718,False
meanDTIV_zscore_rx2_back_r-0.05,0.22353391087267904,1.2018757889511096,1.259228073841983,0.0,1.0,-0.07881773399014778,0.6901359506941658,0,{},1.0,False,0.7482294019132718,False
SATIV_zscore_rx2_back_r-0.05,0.09414304796814892,1.2065412071387132,1.2209318503070676,0.2194854953475643,0.2617736838341756,0.16365626710454295,0.4053314284696222,10,"{'SA_TIV_adjusted_F_C_L__right_merged_with_TIV': 0.03491569983416556, 'SA_TIV_adjusted_F_Cal_ant__Sc_Cal__right_merged_with_TIV': 0.006505321402739884, 'SA_TIV_adjusted_S_C__right_merged_with_TIV': -0.002307178925003309, 'SA_TIV_adjusted_S_Cu__right_merged_with_TIV': -0.17330763006154604, 'SA_TIV_adjusted_S_F_inf__right_merged_with_TIV': -0.0795907534982446, 'SA_TIV_adjusted_S_F_sup__right_merged_with_TIV': 0.05274676084563177, 'SA_TIV_adjusted_S_O_T_lat__right_merged_with_TIV': 7.014072319217618e-05, 'SA_TIV_adjusted_S_Or__right_merged_with_TIV': 0.04862676089318895, 'SA_TIV_adjusted_S_Pa_t__right_merged_with_TIV': 0.06557257980188246, 'SA_TIV_adjusted_S_T_s__right_merged_with_TIV': 0.03497085244974744}",0.7853210515025268,False,0.6079971427044334,False
SLTIV_zscore_rx2_back_r-0.05,0.06901207076691605,1.199316384480656,1.2063598446498236,0.2769567597153804,0.15364114388719427,0.18171866447728516,0.35472535941619376,10,"{'SL_TIV_adjusted_F_C_L__right_merged_with_TIV': 0.2006408919377975, 'SL_TIV_adjusted_F_C_M_ant__right_merged_with_TIV': -0.02768959686302426, 'SL_TIV_adjusted_F_Cal_ant__Sc_Cal__right_merged_with_TIV': 0.05838211835656722, 'SL_TIV_adjusted_S_Cu__right_merged_with_TIV': -0.1778552291654601, 'SL_TIV_adjusted_S_F_inf__right_merged_with_TIV': -0.11450632675639275, 'SL_TIV_adjusted_S_F_sup__right_merged_with_TIV': 0.048557076128843454, 'SL_TIV_adjusted_S_Li_ant__right_merged_with_TIV': 0.010332599340723158, 'SL_TIV_adjusted_S_Olf__right_merged_with_TIV': -0.00010196675977474291, 'SL_TIV_adjusted_S_Or__right_merged_with_TIV': 0.12264163288732119, 'SL_TIV_adjusted_S_T_s__right_merged_with_TIV': 0.033721821213142635}",0.7853210515025268,False,0.6079971427044334,False
SW_zscore_rx2_back_r-0.05,0.1475001445913031,1.2018757889511096,1.18733929949183,0.0,1.0,0.20799124247400108,0.28820031258385626,0,{},1.0,False,0.6079971427044334,False
