File,Best_Alpha,Lasso_RMSE,FullModel_RMSE,Lasso_r,Lasso_p,FullModel_r,FullModel_p,Lasso_Features_N,Lasso_Coefficients,Lasso_FDR_q,Lasso_Significant,FullModel_FDR_q,FullModel_Significant
CT_attention_C_r0.17,0.197374295650284,1.3623306083675908,1.3330741039264216,0.0,1.0,0.13743842364532016,0.477110781256181,0,{},1.0,False,0.6602654362910204,False
maxDTIV_attention_C_r0.17,0.27576148333922784,1.3623306083675908,1.4830582984544085,0.0,1.0,-0.4261083743842364,0.021175412536788476,0,{},1.0,False,0.09330310372566425,False
meanDTIV_attention_C_r0.17,0.2676249750864906,1.3623306083675908,1.4833586255969637,0.0,1.0,-0.3344827586206896,0.07614647692065205,0,{},1.0,False,0.1522929538413041,False
SATIV_attention_C_r0.17,0.23230461389076398,1.3623306083675908,1.3539336887572175,0.0,1.0,-0.08522167487684727,0.6602654362910204,0,{},1.0,False,0.6602654362910204,False
SLTIV_attention_C_r0.17,0.23982425316975003,1.3623306083675908,1.4244844134499868,0.0,1.0,-0.40098522167487677,0.031101034575221415,0,{},1.0,False,0.09330310372566425,False
SW_attention_C_r0.17,0.16272878488937267,1.3623306083675908,1.4109565266473338,0.0,1.0,0.0940886699507389,0.6273396176916155,0,{},1.0,False,0.6602654362910204,False
