File,Best_Alpha,Lasso_RMSE,FullModel_RMSE,Lasso_r,Lasso_p,FullModel_r,FullModel_p,Lasso_Features_N,Lasso_Coefficients,Lasso_FDR_q,Lasso_Significant,FullModel_FDR_q,FullModel_Significant
CT_attention_O_r-0.06,0.1662516439644287,1.1413926350128243,1.2222656556274294,0.12266009852216746,0.526152599437852,-0.17733990147783246,0.3574052891780468,2,"{'CT_F_Cal_ant__Sc_Cal__right_merged_with_TIV': 0.018640782066548144, 'CT_S_Or__right_merged_with_TIV': -0.12687301653348684}",1.0,False,0.6123403041185483,False
maxDTIV_attention_O_r-0.06,0.13429122892303347,1.234906179985769,1.2776037013638943,-0.11970443349753691,0.5362437826663684,-0.17931034482758618,0.35200111362750863,7,"{'maxD_TIV_adjusted_F_C_M_post__right_merged_with_TIV': -0.07591160492982786, 'maxD_TIV_adjusted_S_Cu__right_merged_with_TIV': -0.0614592425508469, 'maxD_TIV_adjusted_S_F_inf__right_merged_with_TIV': 0.17434726620190635, 'maxD_TIV_adjusted_S_F_sup__right_merged_with_TIV': -0.135274975912031, 'maxD_TIV_adjusted_S_Li_ant__right_merged_with_TIV': 0.152455026200932, 'maxD_TIV_adjusted_S_Pa_int__right_merged_with_TIV': -0.06507649622097388, 'maxD_TIV_adjusted_S_T_i__right_merged_with_TIV': 0.015457890265642777}",1.0,False,0.6123403041185483,False
meanDTIV_attention_O_r-0.06,0.23823140831882664,1.1765752768665596,1.286059631290464,-0.17268136600990253,0.37037633820062765,-0.0817733990147783,0.673243761027488,2,"{'meanD_TIV_adjusted_F_Cal_ant__Sc_Cal__right_merged_with_TIV': -0.005378503971828012, 'meanD_TIV_adjusted_S_Cu__right_merged_with_TIV': -0.022792523342446535}",1.0,False,0.6975890681639076,False
SATIV_attention_O_r-0.06,0.30137190927437085,1.1725217277796116,1.2634074278021177,0.0,1.0,-0.32857142857142846,0.08181202880960808,0,{},1.0,False,0.4908721728576485,False
SLTIV_attention_O_r-0.06,0.22121381166179951,1.1725217277796116,1.2463126026509184,0.0,1.0,-0.15960591133004923,0.4082268694123655,0,{},1.0,False,0.6123403041185483,False
SW_attention_O_r-0.06,0.20437995729013111,1.1725217277796116,1.2075797370805048,0.0,1.0,-0.07536945812807881,0.6975890681639076,0,{},1.0,False,0.6975890681639076,False
