"File","Region","Cor","Cor_p_fdr","Partial_cor","Partial_cor_p_fdr","Significant_Type","Effect_Size_Direct","Effect_Size_Partial","Max_Correlation","Primary_Effect","Overall_Effect_Size"
"SLTIV_attention_A_r-0.02","SL_TIV_adjusted_F_I_P__right_merged_with_TIV",-0.305215465353769,4.83968206410767e-07,-0.335831844048699,1.53457229337549e-08,"Both_Significant","Medium","Medium",0.335831844048699,"Partial","Medium"
"SATIV_attention_A_r-0.02","SA_TIV_adjusted_F_I_P__right_merged_with_TIV",-0.21639480691524,0.00212851060191103,-0.239365665693745,0.000356175557721129,"Both_Significant","Small","Small",0.239365665693745,"Partial","Small"
"SLTIV_attention_A_r-0.02","SL_TIV_adjusted_S_F_inf__right_merged_with_TIV",-0.199266177346678,0.00552632850036222,-0.184726773483243,0.0101275100955788,"Both_Significant","Small","Small",0.199266177346678,"Direct","Small"
"SATIV_attention_A_r-0.02","SA_TIV_adjusted_S_F_inf__right_merged_with_TIV",-0.19779071223418,0.00610840611318715,-0.185432358996189,0.00969757054820743,"Both_Significant","Small","Small",0.19779071223418,"Direct","Small"
"SLTIV_attention_A_r-0.02","SL_TIV_adjusted_S_Po_C__right_merged_with_TIV",0.188453556632907,0.00917668310499403,0.196819651292657,0.00859333925003117,"Both_Significant","Small","Small",0.196819651292657,"Partial","Small"
"SATIV_attention_A_r-0.02","SA_TIV_adjusted_S_Po_C__right_merged_with_TIV",0.172033090761602,0.0246127864381172,0.192935523124746,0.00969757054820743,"Both_Significant","Small","Small",0.192935523124746,"Partial","Small"
"maxDTIV_attention_A_r-0.02","maxD_TIV_adjusted_S_Or__right_merged_with_TIV",-0.180653764125132,0.0371176780813963,-0.174719685139579,0.0561293010526292,"Direct_Correlation_Significant","Small","Small",0.180653764125132,"Direct","Small"
"SLTIV_attention_A_r-0.02","SL_TIV_adjusted_S_Pe_C__right_merged_with_TIV",0.163612293058212,0.0219964058074689,0.177259883959655,0.0101275100955788,"Both_Significant","Small","Small",0.177259883959655,"Partial","Small"
