term,type,estimate,std_error,statistic,p_value,label,feature,anova_p,Delta_adj_R2,adj_r2_full,BIC,adjusted_p,anova_fdr_p
s(Age),smooth,NA,NA,9.693834294691083,3.036771936703042e-4,S.O.T.lat._left,maxD_resid,0.0010326339620142552,-0.012492344932361621,0.016220233290374364,1912.6369572790506,0.0012223968049007183,0.004156678480006749
s(Age),smooth,NA,NA,3.600925110771226,0.019271752679028475,S.F.sup._left,SA_resid,2.3854911935885473e-4,-0.012278094291307662,0.01058373428337478,7043.124711459396,0.03626282456763938,0.001354618213502068
s(Age),smooth,NA,NA,5.5070418859128285,0.012922924742872599,S.Pe.C._left,SL_resid,0.01322168511613677,-0.012236916051823421,0.009993601469959312,4173.2732389886205,0.025845849485745198,0.032095388297186965
s(Age),smooth,NA,NA,7.350572501886284,0.00804980431369351,S.Cu._right,SL_resid,0.008685688972841521,-0.011897510826737956,0.016632379510062023,3636.3990147240443,0.017328509692774864,0.023407195706471217
s(Age),smooth,NA,NA,11.716758771319025,9.283849350536499e-4,S.C._right,maxD_resid,0.005865797090945462,-0.011872654822881468,0.011536843947855924,1357.260588344627,0.002952264093470607,0.016957486135642335
s(Age),smooth,NA,NA,14.814904495969119,1.1425870921211168e-4,F.C.M.post._left,maxD_resid,0.0033961147804208395,-0.011868897712765114,0.01661927536201735,1645.1988508499185,4.910036422898853e-4,0.01102676596781446
s(Age),smooth,NA,NA,12.769940496253144,3.5404456160953446e-4,F.C.M.post._left,meanD_resid,0.012790966506639802,-0.011809959458174424,0.012726847497821603,1338.5504641477783,0.0013309159691605888,0.03128867191624198
s(Age),smooth,NA,NA,11.404468482226106,5.562623429455904e-4,S.O.T.lat._right,SA_resid,3.74451641953325e-5,-0.011218796977102374,0.018672486788993803,6842.687844597459,0.0018818236708159335,2.835133860503746e-4
s(Age),smooth,NA,NA,5.845695827632288,0.019909433151239386,S.T.i._right,SL_resid,0.01078060017039943,-0.011097059090801276,0.015327546716664475,4547.358147598033,0.03702455989528728,0.02787179556249609
s(Age),smooth,NA,NA,11.51839447343752,2.6790284277489196e-5,S.O.T.lat._left,meanD_resid,9.08354761848855e-5,-0.010834282992869149,0.008650321405364814,999.3259877744488,1.5213054286145652e-4,6.145889665275232e-4
s(Age),smooth,NA,NA,8.186117748563243,0.004199731446008825,S.Cu._left,SA_resid,5.838588124575228e-4,-0.010125648289309064,0.018193483441458325,6021.373855980407,0.01011753484720308,0.0025606294603263925
s(Age),smooth,NA,NA,5.632226021424547,0.017416597941510292,S.T.i._right,SA_resid,6.201010206100396e-4,-0.009281944007519471,0.014590443874574532,7509.23984797301,0.0337712082036602,0.0026647584399188185
s(Age),smooth,NA,NA,6.9326492551231595,0.008119333157935393,S.Pa.int._left,SA_resid,4.6070332076635176e-4,-0.008865317787666971,0.007014225307084843,7044.717526462669,0.017328509692774864,0.002123241391357969
s(Age),smooth,NA,NA,6.487762027947422,0.007769473208800559,S.Po.C._left,SA_resid,3.1627170925391723e-4,-0.008794649832611023,0.009298183983863617,7111.9732604246365,0.01703925848550743,0.001596419103853106
s(Age),smooth,NA,NA,5.209834113200838,0.020913031154804307,S.T.i._left,SA_resid,8.511049391814406e-4,-0.00825053382238794,0.007315173031075872,7293.91719968192,0.038528495868352525,0.003469889367432027
s(Age),smooth,NA,NA,9.724587557425133,0.0017563457325373566,S.C._left,SA_resid,2.465938276664964e-4,-0.0076661796738126675,0.021827816039966752,6297.575004102696,0.004856677764755473,0.001367321348178144
s(Age),smooth,NA,NA,20.322533106709447,7.291622149740995e-6,S.Pa.int._right,meanD_resid,3.56753323124055e-4,-0.007292409159902036,0.026356163923754283,1088.2017193699537,5.152746319150303e-5,0.001745347026976146
s(Age),smooth,NA,NA,9.13400220456886,0.004495661742142221,F.P.O._right,maxD_resid,0.014309097268497752,-0.006161186728870116,0.0033283596077043898,1901.4262666759362,0.01051191495589137,0.033957409935688694
s(Age),smooth,NA,NA,11.461289362774082,6.942340974653849e-4,S.Call._left,SA_resid,1.168767805074487e-4,-0.004586119138370148,0.006404979954458878,6222.467511882183,0.0022996504478540875,7.743086708618477e-4
s(Age),smooth,NA,NA,6.364829007054762,0.0025812651062531167,S.T.s._right,SA_resid,2.5238732231864594e-5,-0.0035672939210081855,0.0035067860605760837,7141.153171513069,0.006619695998294283,2.2931190999236973e-4
s(Age),smooth,NA,NA,5.5183359850051525,0.0032513993603561775,S.Pe.C._right,SA_resid,2.8051145246826834e-5,0.0033512704572885577,0.00937155020344349,7315.955751940711,0.008032239982742422,2.347437944339719e-4
s(Age),smooth,NA,NA,4.466561409697695,0.023871464624658112,S.F.sup._right,SA_resid,6.494344572831709e-4,-0.002357140688267423,4.1117151677760866e-4,7179.835400135033,0.04313139631046182,0.0027173704923164257
s(Age),smooth,NA,NA,6.3752351892658,0.019691186397574723,F.Cal.ant.-Sc.Cal._right,SA_resid,3.8851884331536564e-4,-0.0019383217612745085,0.0014870782818567907,6861.793449700175,0.03683410161428684,0.001844014808571437
s(Age),smooth,NA,NA,12.444211756369201,4.147908869299166e-4,S.F.inter._left,maxD_resid,0.007450682006552035,-0.0014549324497051819,0.0021798677078517237,2021.9381591102222,0.0015048210902966915,0.020602755461596064
s(Age),smooth,NA,NA,11.081979660124249,7.330018538124761e-4,S.Pe.C._left,maxD_resid,0.015415519468128636,0.0011492860583217634,-9.670935675518688e-4,1803.3365495451515,0.002403037005282138,0.036045111697536075
